step,rg2,perim,cycles,asph,movfrac
1100000,312332.213744,119430,7344,0.154721,0.2969
1200000,316404.241302,119364,7288,0.053825,0.3516
1300000,312877.314337,119426,7364,0.149676,0.3047
1400000,294199.874104,119315,7344,0.067838,0.2891
1500000,293808.087418,119317,7365,0.068357,0.3125
1600000,300524.526585,119457,7328,0.036133,0.4219
1700000,433784.889744,119412,7398,0.143297,0.2969
1800000,352058.364645,119418,7414,0.262538,0.2969
1900000,329837.184338,119267,7397,0.225767,0.2109
2000000,369976.688358,119487,7350,0.246900,0.3594
2100000,344700.133366,119562,7252,0.021502,0.2500
2200000,346667.859678,119399,7300,0.294781,0.2266
2300000,356967.284069,119333,7260,0.376769,0.2422
2400000,316759.702740,119228,7386,0.007574,0.3438
2500000,329219.750108,119159,7503,0.077689,0.2656
2600000,318058.308525,119278,7335,0.002303,0.3125
2700000,334517.238985,119346,7333,0.021408,0.2891
2800000,310411.212497,119417,7318,0.001333,0.3750
2900000,301792.481445,119643,7201,0.128016,0.3125
3000000,329211.161833,119535,7366,0.123202,0.3125
3100000,319006.587697,119528,7370,0.091437,0.2969
3200000,294358.547702,119336,7455,0.037291,0.2969
3300000,342713.248171,119465,7361,0.084852,0.2812
3400000,338028.232318,119423,7311,0.108893,0.2812
3500000,369066.439062,119471,7301,0.110822,0.3281
3600000,351381.787190,119624,7249,0.064109,0.2500
3700000,381923.644096,119716,7361,0.033222,0.2891
3800000,332611.005212,119668,7249,0.086679,0.2422
3900000,354618.895293,119712,7287,0.092812,0.2500
4000000,293355.559192,119718,7196,0.071916,0.3125
4100000,296158.845258,119603,7198,0.077337,0.2422
4200000,307913.894686,119781,7200,0.061237,0.2500
4300000,301471.567493,119783,7194,0.083518,0.3516
4400000,297315.038152,119790,7172,0.081503,0.2578
4500000,270431.103441,119702,7131,0.028577,0.2734
4600000,292844.659041,119448,7272,0.058637,0.2734
4700000,290746.086711,119533,7215,0.058965,0.3516
4800000,290419.099597,119673,7252,0.056397,0.2578
4900000,329585.814495,119538,7256,0.020170,0.2891
5000000,301968.187783,119661,7213,0.103046,0.2969
5100000,300979.331253,119613,7222,0.106103,0.3047
5200000,300545.588183,119552,7227,0.037965,0.2500
5300000,329289.447406,119551,7276,0.013952,0.3359
5400000,303311.027799,119443,7304,0.026796,0.3516
5500000,294461.564073,119452,7279,0.041440,0.3438
5600000,404244.645634,119213,7507,0.017946,0.3047
5700000,338352.176334,119403,7405,0.013224,0.3047
5800000,317231.535833,119374,7433,0.004880,0.2734
5900000,279587.762990,119446,7415,0.019117,0.2344
6000000,261046.357241,119374,7386,0.031623,0.2656
6100000,263668.625637,119292,7393,0.051782,0.3516
6200000,260813.084520,119511,7280,0.035763,0.2266
6300000,270781.198242,119344,7379,0.043407,0.2578
6400000,261892.217649,119448,7314,0.035319,0.2812
6500000,265205.935271,119676,7304,0.035322,0.2422
6600000,280567.042771,119454,7380,0.036126,0.3047
6700000,280125.956407,119367,7314,0.014862,0.3047
6800000,322727.015369,119197,7386,0.043939,0.2734
6900000,303660.140820,119265,7338,0.193736,0.3359
7000000,269919.719593,119289,7291,0.161085,0.3047
7100000,251604.503882,119339,7295,0.128235,0.2656
7200000,276316.248989,119494,7121,0.153080,0.3203
7300000,271893.649385,119337,7227,0.179726,0.2891
7400000,327206.552229,119390,7263,0.014600,0.2734
7500000,332508.284111,119356,7342,0.011838,0.3906
7600000,328875.578012,119310,7299,0.048954,0.3516
7700000,285873.120008,119291,7367,0.015121,0.3125
7800000,265001.620680,119413,7221,0.119211,0.2266
7900000,270800.643233,119475,7360,0.129378,0.2188
8000000,270764.806382,119448,7420,0.136710,0.3125
8100000,262190.002393,119473,7332,0.075485,0.3281
8200000,277076.090230,119370,7246,0.141368,0.3281
8300000,266960.296640,119365,7234,0.115965,0.3281
8400000,250922.729818,119409,7354,0.147712,0.2734
8500000,270110.318786,119531,7307,0.158881,0.3047
8600000,310002.393095,119476,7287,0.219897,0.2188
8700000,314360.705258,119557,7294,0.178449,0.2500
8800000,257347.603571,119585,7321,0.064480,0.2578
8900000,304620.589705,119550,7329,0.038547,0.3203
9000000,280729.179262,119434,7344,0.014846,0.3203
9100000,288680.371101,119462,7345,0.034110,0.2734
9200000,305643.497342,119297,7444,0.033503,0.3047
9300000,299942.699574,119245,7369,0.009750,0.2891
9400000,340034.711279,119564,7179,0.103420,0.2500
9500000,302365.274366,119447,7216,0.163710,0.2422
9600000,324412.775483,119490,7275,0.159325,0.3047
9700000,308204.569724,119431,7247,0.042409,0.3203
9800000,301448.682140,119409,7231,0.051015,0.3281
9900000,300875.244546,119176,7453,0.032470,0.3672
10000000,292867.103617,119365,7338,0.007284,0.3047
10100000,285842.896342,119372,7225,0.037983,0.3594
10200000,300129.194790,119397,7241,0.020506,0.2891
10300000,380168.369065,119394,7372,0.040856,0.2500
10400000,295979.509261,119635,7250,0.028728,0.2812
10500000,314714.183096,119462,7346,0.072335,0.3203
10600000,318528.542011,119390,7294,0.085271,0.3438
10700000,300792.850452,119587,7148,0.092116,0.2344
10800000,317821.464257,119427,7338,0.026184,0.3125
10900000,313021.244212,119422,7200,0.021872,0.2812
11000000,319260.140347,119450,7255,0.035833,0.3125
11100000,320863.133529,119434,7225,0.020501,0.3438
11200000,320097.863713,119305,7206,0.018380,0.3047
11300000,307127.298460,119142,7279,0.009084,0.2500
11400000,277793.769186,119287,7248,0.023967,0.2656
11500000,278473.121772,119261,7345,0.021899,0.2969
11600000,291263.785580,119189,7335,0.009477,0.2422
11700000,262997.945433,119159,7280,0.002330,0.2812
11800000,261150.271688,119204,7289,0.003881,0.2266
11900000,292250.497227,119129,7315,0.121907,0.3750
12000000,295660.796873,119225,7299,0.121743,0.2969
12100000,299232.526782,119135,7392,0.032258,0.2578
12200000,283925.485760,119164,7352,0.120345,0.3125
12300000,272362.820047,119122,7301,0.176671,0.3203
12400000,273269.359032,119133,7258,0.175400,0.2422
12500000,289797.750076,119193,7335,0.191676,0.2656
12600000,302459.294038,119230,7354,0.068994,0.2734
12700000,311891.428296,119197,7383,0.062602,0.2812
12800000,316114.573926,119090,7334,0.101088,0.2578
12900000,310621.919208,119391,7357,0.061935,0.2422
13000000,310865.175835,119463,7358,0.064241,0.2969
13100000,345995.026825,119464,7268,0.052629,0.3125
13200000,353779.646711,119501,7215,0.011231,0.3125
13300000,353705.336274,119525,7218,0.028443,0.2812
13400000,297181.806730,119646,7222,0.088832,0.2969
13500000,314423.918722,119487,7238,0.012298,0.3672
13600000,303058.273833,119433,7316,0.019983,0.3203
13700000,287952.101492,119695,7312,0.029905,0.3203
13800000,274444.808304,119698,7246,0.046175,0.3203
13900000,283463.665068,119648,7259,0.080030,0.2500
14000000,254411.663818,119559,7411,0.105622,0.3047
14100000,259615.482545,119470,7319,0.015169,0.3203
14200000,268234.468562,119521,7177,0.026767,0.2734
14300000,276232.156158,119453,7301,0.026436,0.3047
14400000,331112.404076,119535,7330,0.300618,0.2422
14500000,299681.709774,119505,7336,0.056373,0.2422
14600000,326347.965751,119529,7303,0.083627,0.2656
14700000,316818.682035,119469,7289,0.078415,0.2578
14800000,303376.931798,119472,7323,0.100178,0.2578
14900000,336149.476204,119565,7303,0.039282,0.3359
15000000,305777.966863,119597,7312,0.091045,0.2422
15100000,276215.518794,119518,7387,0.068943,0.2734
15200000,275124.558773,119643,7319,0.065109,0.3125
15300000,299275.123878,119638,7283,0.085179,0.2969
15400000,289953.855439,119689,7278,0.051030,0.3047
15500000,295474.395358,119708,7251,0.051867,0.2188
15600000,268811.210793,119635,7317,0.075479,0.3125
15700000,294658.801950,119680,7233,0.071049,0.2344
15800000,313644.354596,119718,7044,0.028683,0.2734
15900000,307890.204894,119629,7190,0.019877,0.2734
16000000,328432.847981,119543,7157,0.042807,0.2344
16100000,334270.937246,119546,7195,0.077423,0.2500
16200000,325384.372070,119360,7289,0.065149,0.3359
16300000,333839.489692,119321,7289,0.074408,0.3047
16400000,335717.263680,119116,7317,0.081027,0.3359
16500000,344742.290117,119178,7310,0.104510,0.2891
16600000,311148.637177,119344,7262,0.108033,0.2891
16700000,320941.186729,119364,7243,0.075822,0.2812
16800000,308954.444316,119381,7268,0.040699,0.2891
16900000,302925.578278,119275,7345,0.048231,0.3750
17000000,297472.363897,119257,7350,0.054336,0.2266
17100000,304031.045305,119231,7323,0.021486,0.2734
17200000,340595.592418,119424,7203,0.028365,0.3125
17300000,317832.429422,119274,7205,0.029068,0.2500
17400000,293596.828824,119334,7241,0.032930,0.2656
17500000,288302.668886,119374,7278,0.019115,0.3828
17600000,294849.972005,119392,7337,0.092096,0.2812
17700000,291719.870050,119327,7288,0.082025,0.3438
17800000,290987.925929,119431,7195,0.093482,0.3203
17900000,281928.928800,119475,7312,0.146959,0.2891
18000000,269328.939971,119586,7371,0.122348,0.2969
18100000,263601.195797,119614,7241,0.070755,0.2734
18200000,267436.186835,119728,7280,0.128459,0.3125
18300000,297106.312327,119702,7293,0.114195,0.3125
18400000,280305.598154,119469,7379,0.071092,0.3281
18500000,272466.551649,119478,7387,0.073555,0.3047
18600000,262899.609405,119310,7484,0.053868,0.2812
18700000,287403.867317,119305,7518,0.070498,0.3047
18800000,284877.315304,119363,7442,0.015302,0.3438
18900000,287007.492661,119249,7515,0.052595,0.3125
19000000,285739.622468,119355,7318,0.094305,0.2734
19100000,272924.660137,119415,7302,0.069366,0.2344
19200000,273456.453985,119557,7223,0.072533,0.2578
19300000,274005.156309,119683,7240,0.053441,0.3203
19400000,272683.694113,119744,7240,0.055243,0.2812
19500000,298618.108855,119730,7199,0.081522,0.2578
19600000,277699.669866,119542,7259,0.084786,0.2422
