step,rg2,perim,cycles,asph,movfrac
2000,4362.388916,3613,224,0.418745,0.2969
4000,4521.036130,3605,222,0.234491,0.2266
6000,5500.946057,3623,221,0.511327,0.3203
8000,5345.526760,3629,204,0.441531,0.2578
10000,5302.065069,3627,198,0.412885,0.2969
12000,4641.381261,3577,207,0.308739,0.2812
14000,3539.260865,3573,227,0.027296,0.3203
16000,4121.490931,3585,205,0.172176,0.3203
18000,5242.007370,3604,230,0.302138,0.2500
20000,5223.538653,3588,235,0.404917,0.2891
22000,5225.678557,3596,217,0.406005,0.2969
24000,5187.817397,3609,213,0.411087,0.2188
26000,4855.024024,3591,220,0.214510,0.3281
28000,5140.502397,3613,199,0.216195,0.2969
30000,4648.421655,3599,200,0.234980,0.2031
32000,4617.598177,3596,222,0.230631,0.3438
34000,4494.420555,3585,235,0.107470,0.2422
36000,4534.629228,3612,241,0.106024,0.2656
38000,4486.264772,3622,208,0.292625,0.2422
40000,4467.113300,3644,203,0.303934,0.2812
42000,4581.570624,3674,194,0.303268,0.3203
44000,5036.909536,3660,192,0.439037,0.2578
46000,4994.562675,3661,197,0.440339,0.2578
48000,5468.051173,3633,197,0.492032,0.2812
50000,5338.427344,3628,188,0.508866,0.2578
52000,4888.920794,3639,188,0.418758,0.2891
54000,4887.239115,3620,205,0.421806,0.3125
56000,4862.847988,3604,219,0.413971,0.2891
58000,4360.297917,3614,206,0.283483,0.3047
60000,5415.076542,3615,218,0.484400,0.3281
62000,6563.457872,3609,200,0.562597,0.2266
64000,6609.199519,3590,218,0.570011,0.2969
66000,7134.778782,3582,230,0.609997,0.4219
68000,6616.024513,3603,230,0.569510,0.2812
70000,7696.502561,3603,221,0.720501,0.2969
72000,7724.348685,3600,206,0.736272,0.2812
74000,7770.755731,3601,222,0.720234,0.3125
76000,7084.914995,3593,230,0.597138,0.3203
78000,5257.511860,3595,221,0.465855,0.2969
80000,5183.578519,3595,228,0.469533,0.3281
82000,5016.415114,3603,212,0.492469,0.2656
84000,5118.590326,3617,213,0.387941,0.2891
86000,4685.885029,3633,211,0.600453,0.2891
88000,4699.289407,3635,213,0.600245,0.2500
90000,4204.816450,3637,213,0.476140,0.3203
92000,4240.715102,3611,207,0.483947,0.2891
94000,4089.581799,3627,210,0.281739,0.2344
96000,3881.846976,3622,217,0.089323,0.2656
98000,3866.487104,3610,221,0.087875,0.3750
100000,3831.789285,3632,208,0.118644,0.2344
102000,3556.943218,3641,198,0.399898,0.2266
104000,4356.309906,3649,193,0.196953,0.2969
106000,4386.489925,3624,213,0.199297,0.3047
108000,4057.445137,3623,206,0.162691,0.2578
110000,4127.884596,3601,194,0.148968,0.3203
112000,4121.732563,3635,171,0.147351,0.2422
114000,4256.372559,3651,183,0.133612,0.2656
116000,3700.191411,3625,191,0.028755,0.2969
118000,4223.136222,3650,201,0.353528,0.2812
120000,4229.285716,3674,189,0.353696,0.3047
122000,3806.204652,3667,213,0.291771,0.2969
124000,3732.802811,3636,199,0.032471,0.2812
126000,3498.047289,3622,197,0.143600,0.2969
128000,3687.855286,3616,204,0.139102,0.2969
130000,5010.312600,3601,204,0.365696,0.2500
132000,5002.820023,3594,210,0.362777,0.3125
134000,5004.554004,3589,216,0.335147,0.3125
136000,4983.177539,3600,206,0.333479,0.3125
138000,4945.616756,3586,216,0.382876,0.2812
140000,4997.435679,3613,194,0.384157,0.1953
142000,4928.960687,3579,209,0.394089,0.3125
144000,4694.205904,3586,211,0.458800,0.2891
146000,4816.185082,3601,204,0.546030,0.2969
148000,4913.907401,3589,208,0.416913,0.3203
150000,4910.690346,3606,196,0.398048,0.2969
