step,rg2
20000,3898.008330
40000,3973.812658
60000,4084.131299
80000,4076.433364
100000,4199.274218
120000,4020.398124
140000,3989.209302
160000,3990.365604
180000,3916.978039
200000,3940.874496
220000,3938.964928
240000,3961.551715
260000,3813.226798
280000,3925.563323
300000,3916.166912
320000,3860.758897
340000,3784.764501
360000,3767.644076
380000,3779.743330
400000,3857.703537
420000,3807.606157
440000,3798.447962
460000,3890.428311
480000,3784.681254
500000,3831.948366
520000,3833.092000
540000,3864.943044
560000,3920.625686
580000,3976.597310
600000,3943.479451
620000,3934.719202
640000,3869.057494
660000,3944.834396
680000,3880.105930
700000,3954.819786
720000,4055.421928
740000,4089.889562
760000,4088.647612
780000,4218.159726
800000,4071.864239
820000,4035.616951
840000,4001.785337
860000,4133.524007
880000,4023.464925
900000,3989.864071
920000,3998.033826
940000,4092.125116
960000,3980.369370
980000,3878.149528
1000000,3812.016050
1020000,3767.276744
1040000,3780.577993
1060000,3685.510680
1080000,3741.011495
1100000,3696.883322
1120000,3767.083989
1140000,3646.929342
1160000,3556.947092
1180000,3818.834213
1200000,3720.323393
1220000,3763.303904
1240000,3837.301940
1260000,3869.415717
1280000,3852.990013
1300000,3730.390406
1320000,3710.497744
1340000,3682.126690
1360000,3703.516315
1380000,3681.263031
1400000,3759.464377
1420000,3823.740351
1440000,3899.275870
1460000,3834.413545
1480000,3810.279953
1500000,3807.350610
1520000,3804.915191
1540000,3736.288031
1560000,3742.570109
1580000,3843.177300
1600000,3855.866211
1620000,3801.126732
1640000,3804.686976
1660000,3831.526943
1680000,3869.811201
1700000,3783.027979
1720000,3817.298263
1740000,3784.286375
1760000,3699.052412
1780000,3768.297533
1800000,3739.888615
1820000,3793.093121
1840000,3635.555419
1860000,3728.091444
1880000,3700.200042
1900000,3796.784839
1920000,3791.681852
1940000,3811.436664
1960000,3793.726637
1980000,3664.612765
2000000,3634.566003
2020000,3696.098813
2040000,3664.604377
2060000,3776.684947
2080000,3719.487196
2100000,3597.709784
2120000,3584.506792
2140000,3559.108857
2160000,3675.459018
2180000,3591.848995
2200000,3517.416892
2220000,3538.345048
2240000,3541.657026
2260000,3517.219012
2280000,3493.394695
2300000,3531.131791
2320000,3607.495933
2340000,3523.435184
2360000,3544.821271
2380000,3592.434142
2400000,3643.640444
2420000,3562.673877
2440000,3644.339311
2460000,3580.264258
2480000,3604.737223
2500000,3587.388616
2520000,3616.953496
2540000,3711.682425
2560000,3777.365135
2580000,3708.372011
2600000,3702.406652
2620000,3677.771825
2640000,3727.116013
2660000,3715.352386
2680000,3648.198686
2700000,3712.528846
2720000,3714.428385
2740000,3703.962831
2760000,3655.844388
2780000,3718.032448
2800000,3699.589325
2820000,3753.978988
2840000,3680.789139
2860000,3679.291490
2880000,3705.044877
2900000,3780.394919
2920000,3714.733052
2940000,3745.558613
2960000,3687.364792
2980000,3553.806298
3000000,3488.450470
3020000,3507.158895
3040000,3548.384755
3060000,3551.955303
3080000,3622.845413
3100000,3556.917082
3120000,3555.076318
3140000,3478.034407
3160000,3461.125194
3180000,3393.972984
3200000,3403.489752
3220000,3502.771729
3240000,3436.229212
3260000,3430.901965
3280000,3516.671932
3300000,3561.416945
3320000,3474.375653
3340000,3505.623066
3360000,3562.885874
3380000,3528.173172
3400000,3399.249950
3420000,3399.002597
3440000,3453.272092
3460000,3435.939192
3480000,3447.978410
3500000,3465.397375
3520000,3457.772951
3540000,3355.999441
3560000,3415.044339
3580000,3358.761907
3600000,3434.496319
3620000,3500.459410
3640000,3370.099840
3660000,3467.498058
3680000,3567.115575
3700000,3609.798602
3720000,3553.600144
3740000,3582.421902
3760000,3536.295007
3780000,3547.430990
3800000,3582.827781
3820000,3681.250139
3840000,3699.687351
3860000,3683.245073
3880000,3667.517547
3900000,3695.055998
3920000,3678.048301
3940000,3567.049418
3960000,3651.007608
3980000,3590.403844
4000000,3542.402706
4020000,3587.485346
4040000,3462.578094
4060000,3581.496245
4080000,3514.084824
4100000,3551.326831
4120000,3620.705433
4140000,3598.460511
4160000,3596.039785
4180000,3699.114055
4200000,3671.482291
4220000,3815.238804
4240000,3804.751842
4260000,3800.264811
4280000,3721.281578
4300000,3790.213991
4320000,3780.389122
4340000,3816.813808
4360000,3789.845215
4380000,3735.200160
4400000,3803.518973
4420000,3823.158718
4440000,3831.346504
4460000,3841.022583
4480000,3922.662456
4500000,3929.441332
4520000,3819.179724
4540000,3875.634700
4560000,3874.177448
4580000,3930.655421
4600000,3773.496478
4620000,3826.390853
4640000,3885.031584
4660000,3808.596431
4680000,3844.576775
4700000,3764.008751
4720000,3805.448857
4740000,3764.546319
4760000,3801.003213
4780000,3796.354539
4800000,3775.406090
4820000,3706.032849
4840000,3760.485115
4860000,3845.297801
4880000,3902.287866
4900000,3849.893817
4920000,3879.501307
4940000,3850.014091
4960000,3821.711247
4980000,3864.302385
5000000,3857.838572
5020000,3953.972046
5040000,3947.815208
5060000,3948.042120
5080000,3969.705988
5100000,3982.586074
5120000,3976.390965
5140000,4110.841513
5160000,4105.105538
5180000,4089.256589
5200000,4067.989851
5220000,4063.501183
5240000,4102.667075
5260000,4017.381892
5280000,4109.226499
5300000,4027.889586
5320000,4130.017730
5340000,4111.149024
5360000,4090.122669
5380000,4010.251524
5400000,4031.315153
5420000,4020.153066
5440000,3959.975452
5460000,4068.009657
5480000,4126.328637
5500000,4150.179044
5520000,4143.310278
5540000,4232.828559
5560000,4312.539963
5580000,4287.955483
5600000,4160.524087
5620000,4152.081435
5640000,4200.607706
5660000,4192.627653
5680000,4133.414597
5700000,4194.134226
5720000,4271.675724
5740000,4235.942906
5760000,4327.425161
5780000,4265.012938
5800000,4264.980527
5820000,4339.120164
5840000,4301.826759
5860000,4488.490403
5880000,4368.335893
5900000,4288.694019
5920000,4336.452778
5940000,4348.191151
5960000,4397.508253
5980000,4350.345797
6000000,4240.596859
6020000,4265.806880
6040000,4135.639168
6060000,4182.076629
6080000,4167.493252
6100000,4035.479439
6120000,4065.950447
6140000,4122.939729
6160000,4133.130267
6180000,4161.658178
6200000,4041.021255
6220000,4052.213514
6240000,4034.760217
6260000,4076.532657
6280000,4147.063221
6300000,4150.082452
6320000,4072.050924
6340000,4124.568837
6360000,4037.048644
6380000,3931.694565
6400000,3867.696111
6420000,3891.393418
6440000,3974.825860
6460000,3915.092492
6480000,3925.434985
6500000,3900.728988
6520000,3894.381822
6540000,3937.526765
6560000,4026.240057
6580000,3946.478805
6600000,4103.816763
6620000,4028.946419
6640000,3935.498936
6660000,3964.845780
6680000,3915.431657
6700000,3959.831759
6720000,3979.023133
6740000,3995.701498
6760000,3977.261955
6780000,3994.093930
6800000,4030.102070
6820000,4126.915439
6840000,4114.861300
6860000,4136.223596
6880000,4196.800847
6900000,4181.077368
6920000,4205.890811
6940000,4278.129706
6960000,4222.600226
6980000,4208.079698
7000000,4299.897000
7020000,4328.927263
7040000,4227.186864
7060000,4264.960016
7080000,4265.683692
7100000,4275.849519
7120000,4264.694882
7140000,4219.125979
7160000,4298.658749
7180000,4196.347061
7200000,4255.834508
7220000,4228.606676
7240000,4334.850246
7260000,4241.353925
7280000,4115.963351
7300000,4124.008325
7320000,4173.710068
7340000,4210.222096
7360000,4079.333421
7380000,4094.980159
7400000,3976.757700
7420000,3994.474449
7440000,3988.277245
7460000,3953.140107
7480000,3942.960853
7500000,3896.877884
7520000,3955.919764
7540000,3842.645607
7560000,3878.665301
7580000,3971.306820
7600000,4023.326846
7620000,3966.885509
7640000,4001.222672
7660000,3987.306204
7680000,3871.330263
7700000,3909.973576
7720000,4028.074494
7740000,3944.866995
7760000,4025.580164
7780000,4021.860738
7800000,3984.250525
7820000,3989.185528
7840000,3921.987451
7860000,3957.142061
7880000,4013.195480
7900000,4003.132878
7920000,4017.056707
7940000,4036.965674
7960000,4077.412586
7980000,4063.244968
8000000,4078.467985
8020000,4126.589428
8040000,4070.891420
8060000,4122.376788
8080000,4105.013680
8100000,4186.813929
8120000,4175.014422
8140000,4322.868310
8160000,4255.880108
8180000,4303.313936
8200000,4203.857419
8220000,4260.896747
8240000,4145.103800
8260000,4013.117379
8280000,4090.127458
8300000,4174.148401
8320000,4138.016521
8340000,4192.609811
8360000,4082.078090
8380000,4133.957087
8400000,4261.617270
8420000,4303.052332
8440000,4193.651429
8460000,4280.597429
8480000,4280.745146
8500000,4238.819817
8520000,4198.802898
8540000,4148.898668
8560000,4101.559852
8580000,4141.181294
8600000,4213.863052
8620000,4241.587938
8640000,4341.686628
8660000,4440.846435
8680000,4381.960617
8700000,4296.121879
8720000,4280.746697
8740000,4264.697856
8760000,4289.536044
8780000,4246.767309
8800000,4306.214710
8820000,4306.133060
8840000,4326.679164
8860000,4418.369121
8880000,4298.479465
8900000,4330.641275
8920000,4347.614250
8940000,4329.968028
8960000,4275.968385
8980000,4244.137925
9000000,4196.255909
9020000,4176.718936
9040000,4110.114577
9060000,4124.614519
9080000,4112.852500
9100000,4171.016375
9120000,4089.575351
9140000,4122.832421
9160000,4049.826492
9180000,4039.215086
9200000,4016.896860
9220000,4084.572292
9240000,4159.919474
9260000,4258.096015
9280000,4170.354797
9300000,4206.598611
9320000,4090.663379
9340000,4218.616955
9360000,4176.272964
9380000,4144.179378
9400000,4036.532443
9420000,4152.594104
9440000,4197.117788
9460000,4193.833083
9480000,4231.409538
9500000,4106.486968
9520000,4106.133210
9540000,4282.929648
9560000,4200.269630
9580000,4160.568042
9600000,4199.301813
9620000,4288.776302
9640000,4244.907879
9660000,4420.912967
9680000,4558.390922
9700000,4440.252965
9720000,4470.158485
9740000,4440.659439
9760000,4411.880535
9780000,4379.923130
9800000,4253.519580
9820000,4206.669971
9840000,4127.130064
9860000,4221.017039
