step,rg2,perim,cycles,asph,movfrac
50000,2260932.103976,470813,30526,0.372951,0.2344
100000,2266223.931158,470805,30562,0.350486,0.2969
150000,1985363.253661,470926,30381,0.266766,0.2969
200000,1833071.394126,471008,30312,0.144594,0.3359
250000,2714752.176290,470909,30361,0.578245,0.2578
300000,3184444.792981,470848,30332,0.745420,0.3125
350000,3095734.669320,470867,30336,0.745060,0.2812
400000,3097968.347695,470897,30298,0.748928,0.3750
450000,3087701.132118,470982,30293,0.748457,0.3750
500000,2705392.298614,471187,30221,0.545547,0.2578
550000,2704841.104827,471290,30255,0.546036,0.2344
600000,2425082.472346,471345,30290,0.471868,0.2578
650000,2320144.806663,471459,30140,0.440769,0.3281
700000,2321092.634393,471457,30131,0.431276,0.2812
750000,2671038.251813,471474,30147,0.339858,0.3594
800000,2617932.846032,471571,30140,0.325942,0.3125
850000,2700448.156885,471605,30194,0.367116,0.2656
900000,2688303.901957,471796,30089,0.364521,0.3125
950000,2674288.783928,472038,30004,0.394280,0.2891
1000000,2479319.844650,471970,29944,0.183778,0.3672
1050000,2532803.745625,472044,29934,0.176551,0.2422
1100000,2215818.054640,472133,29913,0.103852,0.3125
1150000,2213442.604003,472061,30037,0.105136,0.2812
1200000,2109891.975794,472124,30052,0.124830,0.2578
1250000,2028999.873871,471968,30100,0.199908,0.3672
1300000,2041184.152595,471958,30006,0.294142,0.2891
1350000,2240871.983485,471816,30143,0.176254,0.3203
1400000,2243365.590771,471820,30184,0.175347,0.3594
1450000,2251384.860163,471591,30243,0.176494,0.3516
1500000,2251407.737321,471561,30246,0.177349,0.4141
1550000,2455906.952774,471663,30128,0.150832,0.3438
1600000,2447849.717663,471775,30075,0.155817,0.3047
1650000,2462630.695379,471711,30050,0.178445,0.3203
1700000,2101470.608534,471824,29991,0.057417,0.2188
1750000,2246235.256322,471795,30003,0.106331,0.3516
1800000,2206383.172677,471726,30006,0.097095,0.3203
1850000,2512257.682331,471744,30066,0.222860,0.2344
1900000,1896121.233358,471795,30009,0.075771,0.2969
1950000,1901760.263396,471908,29924,0.084925,0.3047
2000000,1727658.369575,471925,29914,0.114960,0.2656
2050000,1599169.300063,471873,30018,0.183037,0.3516
2100000,1600519.862312,471926,30076,0.182642,0.3750
2150000,1528554.848866,471990,30085,0.312572,0.2891
2200000,1708224.315977,472098,30033,0.386390,0.2891
2250000,1548312.603934,472079,30045,0.328603,0.2969
2300000,1983665.741174,471900,30048,0.156051,0.3047
2350000,1732964.453803,472072,29965,0.054880,0.2656
2400000,1735736.241242,472100,30186,0.051843,0.2812
2450000,1770161.265631,472088,30247,0.202741,0.3672
2500000,1888656.737002,471884,30423,0.182427,0.2734
2550000,1832557.509148,471972,30394,0.045167,0.2344
2600000,1834782.406467,472042,30274,0.060641,0.2891
2650000,1744678.880296,472009,30314,0.049010,0.2578
2700000,1744452.682113,472052,30289,0.040892,0.3516
2750000,1744486.886209,472086,30313,0.041050,0.3125
2800000,1573356.201623,472073,30273,0.034677,0.2734
2850000,1569665.741765,471908,30341,0.047155,0.3203
2900000,1529595.619654,472008,30275,0.090173,0.3359
2950000,1717710.549436,471900,30308,0.231361,0.2734
3000000,1795194.965391,471839,30324,0.204042,0.2344
3050000,1795017.387107,471721,30281,0.204094,0.2578
3100000,1790870.831767,471842,30226,0.204448,0.2812
3150000,1670047.034308,471922,30185,0.257744,0.3203
3200000,2076363.100586,472064,30054,0.314647,0.3047
3250000,1981775.047779,472044,30036,0.058027,0.3281
3300000,2002733.269517,471974,29997,0.087940,0.2891
3350000,1993182.561409,472026,29981,0.092196,0.3438
3400000,1950230.469197,472099,30031,0.094787,0.3672
