step,rg2
20000,5255.802151
40000,5437.304855
60000,5422.229962
80000,5370.116718
100000,5395.362102
120000,5476.251643
140000,5442.037328
160000,5496.158720
180000,5414.133433
200000,5339.299822
220000,5501.640099
240000,5629.965651
260000,5678.331458
280000,5604.628588
300000,5610.625047
320000,5613.969566
340000,5559.744956
360000,5499.925254
380000,5255.565071
400000,5378.219091
420000,5501.195373
440000,5369.639244
460000,5345.768967
480000,5322.683156
500000,5328.453219
520000,5171.427564
540000,5152.829354
560000,5260.078321
580000,5106.967270
600000,5226.620664
620000,5186.050434
640000,5071.185555
660000,5110.250733
680000,5165.016589
700000,5251.088418
720000,5134.915952
740000,5112.940289
760000,5297.825594
780000,5289.886430
800000,5228.345009
820000,5270.198406
840000,5474.173194
860000,5370.980229
880000,5180.751879
900000,5160.149711
920000,5365.218423
940000,5255.324110
960000,5368.655856
980000,5181.481251
1000000,5187.239489
1020000,5370.931597
1040000,5320.728484
1060000,5136.152968
1080000,5140.912213
1100000,5205.923537
1120000,5148.163056
1140000,5146.978170
1160000,5157.821208
1180000,5227.240787
1200000,5296.541331
1220000,5196.654833
1240000,5154.592528
1260000,5052.474244
1280000,5063.171031
1300000,5121.879185
1320000,5169.804130
1340000,5075.090394
1360000,5047.698250
1380000,5127.787875
1400000,5158.947216
1420000,5182.607019
1440000,5051.264036
1460000,5018.212284
1480000,4888.484964
1500000,4889.330629
1520000,4803.821475
1540000,4717.827036
1560000,4773.224963
1580000,4716.918482
1600000,4716.876549
1620000,4874.458517
1640000,4975.176700
1660000,4860.443952
1680000,4884.260459
1700000,4851.145803
1720000,4893.893731
1740000,4972.763841
1760000,5141.758293
1780000,5029.675311
1800000,5073.843379
1820000,5044.729223
1840000,4952.588246
1860000,4981.805521
1880000,4992.928306
1900000,5138.133987
1920000,5113.401589
1940000,5099.947687
1960000,5083.803109
1980000,5143.618090
2000000,5185.221460
2020000,5131.075415
2040000,5172.525519
2060000,5392.837767
2080000,5316.221924
2100000,5209.828282
2120000,5472.216747
2140000,5189.422546
2160000,5128.281899
2180000,5055.635506
2200000,5076.703597
2220000,5408.871507
2240000,5293.121000
2260000,5641.175192
2280000,5552.596709
2300000,5648.602334
2320000,5453.359935
2340000,5438.568498
2360000,5259.365957
2380000,5424.148071
2400000,5559.539144
2420000,5655.121083
2440000,5704.942134
2460000,5492.311735
2480000,5647.082931
2500000,5650.753557
2520000,5669.979612
2540000,5613.638739
2560000,5760.371331
2580000,5816.594893
2600000,5943.651844
2620000,6022.167577
2640000,6139.922810
2660000,6006.611092
2680000,6056.346193
2700000,6016.178088
2720000,5962.814197
2740000,6024.603815
2760000,5936.697473
2780000,5936.104890
2800000,5615.328869
2820000,5865.851622
2840000,5986.153380
2860000,5800.949137
2880000,5790.184291
2900000,5843.756804
2920000,5824.914557
2940000,5724.933013
2960000,5695.140481
2980000,5612.594314
3000000,5845.456768
3020000,5641.511233
3040000,5549.780802
3060000,5443.279528
3080000,5315.257580
3100000,5292.586945
3120000,5142.022110
3140000,5271.819235
3160000,5235.470784
3180000,5098.608321
3200000,5175.136076
3220000,5279.752989
3240000,5438.207575
3260000,5462.146385
3280000,5429.285468
3300000,5371.578108
3320000,5290.716712
3340000,5408.925980
3360000,5234.350414
3380000,5440.072772
3400000,5497.079471
3420000,5409.560010
3440000,5270.343471
3460000,5314.819279
3480000,5281.881413
3500000,5372.506768
3520000,5214.376913
3540000,5190.346191
3560000,5138.793493
3580000,5295.123553
3600000,5447.297263
3620000,5538.104543
3640000,5455.088648
3660000,5542.128631
3680000,5229.578212
3700000,5295.879982
3720000,5350.639805
3740000,5212.888570
3760000,5216.545582
3780000,5066.389007
3800000,5125.630928
3820000,5207.721648
3840000,5209.225137
3860000,5208.710631
3880000,5241.183985
3900000,5192.657950
3920000,5209.562398
3940000,5127.074878
3960000,5084.170991
3980000,5269.890764
4000000,5288.263231
4020000,5257.063376
4040000,5440.131849
4060000,5434.091954
4080000,5180.597772
4100000,5334.464695
4120000,5424.649229
4140000,5426.885665
4160000,5364.105934
4180000,5136.840412
4200000,5087.244256
4220000,5090.798572
4240000,5099.126272
4260000,5042.495466
4280000,5146.384079
4300000,5110.640745
4320000,5073.056187
4340000,4940.700305
4360000,4908.401352
4380000,4948.249036
4400000,5104.202097
4420000,5035.744139
4440000,5103.199443
4460000,5045.469448
4480000,5191.482318
4500000,5108.410778
4520000,5303.551817
4540000,5457.564553
4560000,5215.581973
4580000,5378.362994
4600000,5374.769905
4620000,5337.065859
4640000,5347.435464
4660000,5285.992094
4680000,5113.913327
4700000,5013.687860
4720000,5033.641897
4740000,4874.121114
4760000,4892.167501
4780000,4819.625947
4800000,4939.363394
4820000,4918.253402
4840000,4790.681076
4860000,4965.087161
4880000,4861.515490
4900000,4954.912494
4920000,5152.876538
4940000,5101.420573
4960000,5099.230865
4980000,5084.382574
5000000,5118.616791
5020000,5049.638207
5040000,4895.962886
5060000,4904.194678
5080000,4909.790977
5100000,4842.171666
5120000,4826.061937
5140000,4823.588388
5160000,5067.768858
5180000,5063.896974
5200000,5029.136677
5220000,4972.457178
5240000,4942.437319
5260000,4935.532423
5280000,5037.791024
5300000,5175.737365
5320000,5059.397738
5340000,4993.980631
5360000,5041.006837
5380000,5060.732372
5400000,5215.030144
5420000,5207.017651
5440000,5098.811642
5460000,5264.166180
5480000,5111.170730
5500000,4966.573306
5520000,5165.205395
5540000,5046.703944
5560000,4987.616358
5580000,5176.688448
5600000,5115.907189
5620000,5136.621003
5640000,5340.432343
5660000,5280.521581
5680000,5290.238057
5700000,5166.741004
5720000,5338.593225
5740000,5539.076004
5760000,5412.019453
5780000,5495.752042
5800000,5528.785189
5820000,5520.274386
5840000,5436.175167
5860000,5301.394414
5880000,5290.454649
5900000,5299.890900
5920000,5289.571572
5940000,5338.702208
5960000,5452.160957
5980000,5389.578218
6000000,5320.204352
6020000,5281.469177
6040000,5263.736394
6060000,5338.506281
6080000,5414.704396
6100000,5283.231997
6120000,5402.714390
6140000,5474.622317
6160000,5332.551769
6180000,5288.361353
6200000,5320.866846
6220000,5260.691177
6240000,5303.810933
6260000,5286.237055
6280000,5427.796898
6300000,5426.336759
6320000,5123.700692
6340000,5124.835329
6360000,5108.584922
6380000,5262.165863
6400000,5101.839054
6420000,5365.842218
6440000,5350.115328
6460000,5490.698377
6480000,5386.061634
6500000,5393.185484
6520000,5308.444656
6540000,5148.666162
6560000,5279.105250
6580000,5348.456418
6600000,5353.972924
6620000,5328.655123
6640000,5306.077794
6660000,5281.906430
6680000,5446.820553
6700000,5257.049272
6720000,5264.505463
6740000,5219.914212
6760000,5235.936813
6780000,5349.722342
6800000,5467.145077
6820000,5254.785653
6840000,5244.873013
6860000,5300.783217
6880000,5322.775769
6900000,5549.125995
6920000,5478.257097
6940000,5645.698793
6960000,5650.131300
6980000,5760.741217
7000000,5731.279087
7020000,5604.372759
7040000,5500.909281
7060000,5770.001962
7080000,5610.100160
7100000,5719.097026
7120000,5506.971833
7140000,5590.900586
7160000,5521.919217
7180000,5509.318754
7200000,5534.406193
7220000,5490.238474
7240000,5426.865924
7260000,5350.498557
7280000,5456.441818
7300000,5275.983073
7320000,5485.088143
7340000,5464.854666
7360000,5418.318344
7380000,5462.725791
7400000,5513.580768
7420000,5649.664376
7440000,5554.375797
7460000,5477.942056
7480000,5475.396496
7500000,5336.086419
7520000,5325.199135
7540000,5349.794803
7560000,5259.177889
7580000,5278.531945
7600000,5426.633055
7620000,5533.821443
7640000,5414.746244
7660000,5517.965065
7680000,5358.041367
7700000,5483.362253
7720000,5451.238949
7740000,5485.834191
7760000,5503.317507
7780000,5359.074548
7800000,5241.881169
7820000,5299.487519
7840000,5207.627742
7860000,5108.702202
7880000,5176.162021
7900000,5063.401561
7920000,5116.620262
7940000,5215.789358
7960000,5374.255832
7980000,5240.756071
8000000,5230.709368
8020000,5145.137876
8040000,5261.059711
8060000,5105.097199
8080000,5200.329178
8100000,5243.260033
8120000,5133.702238
8140000,5304.584805
8160000,5294.755640
8180000,5324.510930
8200000,5397.757714
8220000,5302.922706
8240000,5343.770413
8260000,5475.487841
8280000,5459.919220
8300000,5280.878718
8320000,5367.719297
8340000,5300.177906
8360000,5294.091260
8380000,5347.112097
8400000,5286.223963
8420000,5246.162266
8440000,5220.219221
8460000,5342.025274
8480000,5513.845717
8500000,5396.618475
8520000,5388.437683
8540000,5389.006629
8560000,5371.159922
8580000,5346.838396
8600000,5321.559792
8620000,5395.195160
8640000,5414.181365
8660000,5577.647045
8680000,5459.051901
8700000,5411.666609
8720000,5248.778146
8740000,5308.160044
8760000,5459.225135
8780000,5468.564836
8800000,5457.032261
8820000,5394.518327
8840000,5416.041047
8860000,5407.090662
8880000,5391.807074
8900000,5220.868183
8920000,5216.456257
8940000,5147.870131
8960000,5277.028319
8980000,5493.292781
9000000,5555.984285
9020000,5540.525104
9040000,5431.832055
9060000,5643.873359
9080000,5572.721160
9100000,5393.315319
9120000,5531.673982
9140000,5696.000316
9160000,5569.900917
9180000,5515.359302
9200000,5478.213018
9220000,5344.267777
9240000,5254.347741
9260000,5303.979390
9280000,5534.616619
9300000,5416.086819
9320000,5393.252611
9340000,5447.233349
9360000,5573.064524
9380000,5610.254035
9400000,5288.755243
9420000,5430.098563
9440000,5374.083531
9460000,5502.282377
9480000,5563.343514
9500000,5510.593346
9520000,5377.043073
9540000,5298.803568
9560000,5222.593315
9580000,5278.000000
9600000,5294.443572
9620000,5364.662896
9640000,5319.898757
9660000,5270.683949
9680000,5166.217984
9700000,5158.072820
9720000,5065.645645
9740000,5294.890158
9760000,5451.736594
9780000,5475.700851
9800000,5436.746375
9820000,5389.707913
9840000,5412.469046
9860000,5432.315509
9880000,5645.810183
9900000,5527.982754
9920000,5477.750346
9940000,5411.845353
9960000,5415.992577
9980000,5525.740092
10000000,5464.820913
10020000,5462.340815
10040000,5219.574476
10060000,5295.425641
10080000,5557.317273
10100000,5505.489086
10120000,5494.671450
10140000,5508.625214
10160000,5662.370250
10180000,5719.753951
10200000,5659.698761
10220000,5761.467119
10240000,5686.152596
10260000,5587.589297
10280000,5757.972801
10300000,5643.991486
10320000,5554.064395
