step,rg2,perim,cycles,asph,movfrac
100000,12153200.682987,1883103,121380,0.633450,0.3594
200000,10099249.397083,1883339,121284,0.317445,0.3672
300000,10097595.202754,1883230,121474,0.317272,0.3047
400000,10097124.844397,1883202,121498,0.317414,0.2812
500000,9945659.636600,1883567,121404,0.296616,0.2734
600000,10099926.046084,1883721,121426,0.263067,0.2891
700000,8499841.942860,1883715,121364,0.175213,0.2656
800000,10701788.664194,1883842,121188,0.345031,0.2578
900000,14735216.592806,1884009,121169,0.605394,0.2734
1000000,14439466.928121,1884080,121183,0.609119,0.2734
1100000,12509165.095371,1884037,121183,0.480826,0.2969
1200000,12542282.620140,1884090,121153,0.481360,0.2734
1300000,12430658.580980,1884272,120916,0.487303,0.3281
1400000,10329916.944530,1884300,120910,0.267565,0.3984
1500000,10297456.333793,1884572,120871,0.268156,0.2344
1600000,10295395.829907,1884516,120928,0.269024,0.3125
1700000,10293935.873077,1884408,121030,0.268994,0.3516
1800000,10864980.805336,1884210,121142,0.310794,0.2812
1900000,10223322.908565,1883965,121320,0.231331,0.3594
2000000,11829400.043948,1884176,121208,0.354036,0.3047
2100000,9981846.693475,1884322,121127,0.216447,0.3047
2200000,12001983.726748,1884363,121115,0.258929,0.3047
2300000,13553362.937285,1884257,121300,0.492720,0.3203
2400000,15173323.182654,1884469,121207,0.631959,0.2500
2500000,14742811.866144,1884319,121404,0.619442,0.3047
2600000,14741215.910617,1884196,121489,0.619475,0.3047
2700000,14746015.632273,1884182,121584,0.619499,0.2578
2800000,13502947.843437,1884366,121424,0.534048,0.3438
2900000,13505543.012366,1884352,121441,0.533665,0.3438
3000000,13654492.253607,1884503,121281,0.522548,0.2891
3100000,13945727.101378,1884720,121175,0.562408,0.3203
3200000,13943840.368642,1884727,121240,0.560427,0.2969
3300000,13930897.223814,1884911,121279,0.563743,0.3281
3400000,14109499.887636,1884854,121181,0.555087,0.3125
3500000,13995189.367378,1884996,121178,0.563775,0.3828
3600000,13435062.787592,1884890,121254,0.564618,0.2812
3700000,13435792.771534,1884994,121205,0.564776,0.3125
3800000,11712355.240960,1885126,121046,0.484671,0.3281
3900000,12196309.616253,1885045,121152,0.462059,0.3047
4000000,10929298.215622,1884972,121229,0.351997,0.2578
4100000,10929983.536811,1884989,121293,0.352091,0.2188
4200000,10949112.183878,1885268,121216,0.355320,0.2422
4300000,12173044.248535,1885245,121233,0.457692,0.2969
4400000,13244612.961296,1885043,121299,0.540282,0.2734
4500000,11697588.427189,1884924,121266,0.425819,0.3047
4600000,9647406.108150,1884820,121448,0.478093,0.2500
4700000,9688242.718081,1885043,121213,0.468176,0.2578
4800000,9519540.160990,1885019,121481,0.508674,0.2734
4900000,9663258.707668,1885050,121571,0.513051,0.2656
5000000,9649388.799494,1885315,121229,0.509311,0.2812
5100000,8998183.457740,1885229,121289,0.480728,0.3516
5200000,8998997.464589,1885346,121206,0.480604,0.3359
5300000,8996693.288273,1885387,121101,0.480871,0.3125
5400000,9697559.585453,1885314,121251,0.447241,0.3359
5500000,13277409.977285,1885472,121104,0.636201,0.3203
5600000,15117999.194908,1885633,121007,0.654254,0.2812
5700000,15590864.580347,1885519,120964,0.713511,0.3281
5800000,10492616.727645,1885789,120787,0.385257,0.3438
5900000,10452699.979936,1886073,120691,0.384557,0.3359
6000000,10917035.981061,1886262,120533,0.363637,0.2656
6100000,10456756.261984,1886173,120709,0.382646,0.3672
6200000,10411713.623347,1886212,120739,0.377701,0.2188
6300000,10419174.635447,1886228,120643,0.376920,0.2812
6400000,10435907.736378,1886251,120646,0.378969,0.3594
