step,rg2,perim,cycles,asph,movfrac
100000,12153200.682987,1883103,121380,0.633450,0.3594
200000,10099249.397083,1883339,121284,0.317445,0.3672
300000,10097595.202754,1883230,121474,0.317272,0.3047
400000,10097124.844397,1883202,121498,0.317414,0.2812
500000,9945659.636600,1883567,121404,0.296616,0.2734
600000,10099926.046084,1883721,121426,0.263067,0.2891
700000,8499841.942860,1883715,121364,0.175213,0.2656
800000,10701788.664194,1883842,121188,0.345031,0.2578
900000,14735216.592806,1884009,121169,0.605394,0.2734
1000000,14439466.928121,1884080,121183,0.609119,0.2734
1100000,12509165.095371,1884037,121183,0.480826,0.2969
1200000,12542282.620140,1884090,121153,0.481360,0.2734
1300000,12430658.580980,1884272,120916,0.487303,0.3281
1400000,10329916.944530,1884300,120910,0.267565,0.3984
1500000,10297456.333793,1884572,120871,0.268156,0.2344
1600000,10295395.829907,1884516,120928,0.269024,0.3125
1700000,10293935.873077,1884408,121030,0.268994,0.3516
1800000,10864980.805336,1884210,121142,0.310794,0.2812
1900000,10223322.908565,1883965,121320,0.231331,0.3594
2000000,11829400.043948,1884176,121208,0.354036,0.3047
2100000,9981846.693475,1884322,121127,0.216447,0.3047
2200000,12001983.726748,1884363,121115,0.258929,0.3047
2300000,13553362.937285,1884257,121300,0.492720,0.3203
2400000,15173323.182654,1884469,121207,0.631959,0.2500
