step,rg2
10000,368.869663
20000,431.122679
30000,466.428147
40000,483.062815
50000,510.879454
60000,507.026567
70000,520.523299
80000,621.796822
90000,913.880499
100000,806.269723
110000,677.941486
120000,815.135384
130000,984.574479
140000,1244.834311
150000,1075.872560
160000,1443.849107
170000,1343.117950
180000,1346.428887
190000,1388.775878
200000,1767.751366
210000,1755.076742
220000,1751.254600
230000,881.311335
240000,845.354999
250000,813.084856
260000,1147.641436
270000,1175.280328
280000,1057.371852
290000,1819.131480
300000,2120.403180
310000,2321.042875
320000,1289.441452
330000,1369.787886
340000,1283.818055
350000,1494.007030
360000,985.366422
370000,1056.861792
380000,1267.092310
390000,1222.025275
400000,1737.028063
410000,2824.943542
420000,1414.593431
430000,2081.811947
440000,2079.510375
450000,2672.451244
460000,2130.881499
470000,2215.003062
480000,2442.328956
490000,2497.656860
500000,1638.210440
510000,1250.532923
520000,1204.597339
530000,1173.338030
540000,1302.154016
550000,1331.609952
560000,1300.165075
570000,1194.913875
580000,1176.436867
590000,1188.573123
600000,1157.054839
610000,1150.259430
620000,1115.668086
630000,972.582358
640000,1064.938284
650000,1391.976023
660000,1464.266576
670000,1353.422471
680000,1289.678694
690000,1186.486311
700000,1149.127751
710000,1550.139006
720000,1499.995515
730000,1567.362188
740000,1464.670579
750000,1307.808430
760000,1254.202443
770000,1249.817974
780000,1184.287820
790000,1233.460876
800000,1367.418267
810000,1426.069439
820000,1510.095203
830000,1423.116415
840000,1472.646615
850000,1218.953155
860000,1240.572318
870000,1491.181211
880000,1116.883718
890000,1435.901303
900000,1418.428131
910000,1293.556782
920000,1336.844560
930000,1271.280595
940000,1858.526590
950000,1926.571276
960000,1984.907980
970000,1890.204918
980000,1857.692891
990000,1831.776630
1000000,1972.371686
1010000,1774.812272
1020000,1737.215990
1030000,1560.211227
1040000,920.770287
1050000,967.354230
1060000,931.160598
1070000,1102.135583
1080000,928.630695
1090000,894.022539
1100000,840.520550
1110000,810.905240
1120000,1014.549815
1130000,1104.343500
1140000,1090.199055
1150000,926.811662
1160000,918.010003
1170000,830.199343
1180000,829.934540
1190000,949.927470
1200000,911.143087
1210000,973.691295
1220000,1016.281880
1230000,990.825923
1240000,974.403827
1250000,962.385950
1260000,952.507398
1270000,1706.879263
1280000,1849.664655
1290000,903.767551
1300000,968.162275
1310000,952.602675
1320000,1192.484636
1330000,1884.690855
1340000,2804.607699
1350000,1617.330636
1360000,1322.285526
1370000,1307.775526
