step,rg2,perim,cycles,asph,movfrac
50000,3888704.146590,477722,29162,0.657884,0.3047
100000,2873097.037885,477822,29142,0.418660,0.2578
150000,3055540.223949,477864,29122,0.306879,0.3359
200000,3058524.501668,477883,29134,0.273299,0.2734
250000,3068333.461188,477926,29181,0.283407,0.3047
300000,3064472.445566,477891,29167,0.280346,0.2891
350000,3030178.639800,477988,29225,0.280449,0.2656
400000,3206846.950947,477876,29234,0.508110,0.2891
450000,2941979.954884,477846,29282,0.444993,0.3984
500000,2949802.608479,477872,29328,0.437506,0.3359
550000,3050302.351731,477783,29366,0.597805,0.3438
600000,3595489.792207,477823,29414,0.722595,0.2344
650000,3595120.944710,477806,29362,0.722506,0.2344
700000,3416206.379103,477951,29396,0.687384,0.2734
750000,3444302.864537,478024,29416,0.648073,0.3516
800000,2825625.694510,478052,29369,0.076021,0.3359
850000,2966959.278455,478205,29250,0.374421,0.2109
900000,4187225.539995,478187,29259,0.842835,0.3203
950000,3620994.898092,478080,29335,0.600442,0.3125
1000000,3579018.496784,478068,29274,0.564942,0.4141
1050000,3455960.822625,477912,29323,0.432858,0.3125
1100000,3585818.731934,477825,29307,0.476502,0.3125
1150000,3632549.457232,477688,29347,0.472965,0.3047
1200000,2572974.237744,477728,29314,0.260492,0.2422
1250000,2570192.481972,477837,29289,0.259976,0.2891
1300000,4220711.618719,477875,29236,0.776088,0.2734
1350000,2959329.614749,477790,29366,0.238533,0.3125
1400000,2821155.224990,477754,29251,0.260124,0.2031
1450000,2632794.657580,477805,29183,0.440614,0.3281
1500000,2574975.751117,477897,29134,0.308292,0.3438
1550000,2573012.613717,477761,29128,0.309037,0.2109
1600000,2904976.671032,477847,29141,0.319166,0.2734
1650000,4099346.778852,477957,29059,0.678672,0.3125
1700000,4102762.322878,477970,29132,0.531226,0.2500
1750000,4148061.838993,478015,29237,0.544444,0.2578
1800000,4554854.916993,478198,29156,0.747539,0.3281
1850000,4642387.344481,478160,29168,0.721513,0.2812
1900000,4297732.587114,478296,29098,0.692269,0.2656
1950000,4184047.142048,478178,29127,0.669202,0.2969
2000000,4174850.390981,478102,29079,0.679254,0.2891
2050000,3733591.395667,477900,29146,0.642361,0.2969
2100000,4277755.332545,477784,29089,0.778934,0.3203
2150000,4218714.188582,477783,29208,0.777069,0.2422
2200000,2667475.534293,477811,29204,0.365219,0.2656
2250000,2696073.532156,477842,29135,0.360897,0.3750
2300000,2067546.638939,477800,29166,0.253431,0.3203
2350000,3424230.147580,477687,29191,0.605862,0.2578
2400000,3453711.754510,477604,29218,0.654677,0.2891
2450000,3449924.229075,477506,29345,0.631151,0.3203
2500000,3379223.248450,477530,29384,0.605518,0.3125
2550000,3537723.169909,477547,29342,0.703756,0.3516
2600000,3161149.918936,477596,29265,0.514553,0.2891
2650000,2927034.738805,477659,29045,0.568617,0.3203
2700000,2940809.833714,477755,28977,0.580018,0.3203
