step,rg2
50000,131104.172363
100000,121652.825068
150000,86393.098919
200000,93583.861848
250000,78945.668043
300000,51848.401112
350000,48850.154257
400000,41808.691285
450000,38768.795135
500000,34792.591482
550000,37908.141289
600000,32997.396842
650000,35637.664287
700000,42194.226463
750000,73893.614892
800000,81865.662815
850000,52486.932491
900000,41276.110292
950000,41066.940559
1000000,39524.085869
1050000,35520.411591
1100000,33204.777242
1150000,33799.029334
1200000,25102.560745
1250000,23641.821087
1300000,22827.237845
1350000,22538.530575
1400000,22539.099240
1450000,22481.947602
1500000,21661.138210
1550000,21099.762035
1600000,27255.838075
1650000,25634.117112
1700000,25381.848983
1750000,15572.810423
1800000,33786.693119
1850000,33141.814867
1900000,33030.429088
1950000,32980.440686
2000000,30408.007340
2050000,32529.308437
2100000,33734.522804
2150000,33982.803413
2200000,31905.768762
2250000,31746.799258
2300000,30642.857209
2350000,31771.410114
2400000,32731.014608
2450000,25906.909509
2500000,25759.622062
2550000,25506.169344
2600000,24952.450164
2650000,25592.362289
2700000,25626.995877
2750000,27831.074229
2800000,17052.798542
2850000,17145.489092
2900000,16670.151711
2950000,18423.238407
3000000,18236.620636
3050000,17312.700530
3100000,24377.706775
3150000,33762.759677
3200000,33270.377707
3250000,63409.199837
3300000,64512.071484
3350000,59594.207126
3400000,60145.632463
3450000,33898.832294
3500000,28253.723057
3550000,26481.177035
3600000,26133.623305
3650000,26140.013002
3700000,26038.119570
3750000,26758.297545
3800000,26754.461392
3850000,25430.060308
3900000,26679.697120
3950000,26671.186014
4000000,24515.011666
4050000,26008.327353
4100000,22753.811041
4150000,22551.709698
4200000,17148.178932
4250000,16356.797729
4300000,16439.536424
4350000,16300.942694
4400000,19273.681473
4450000,18883.538897
4500000,19518.249707
4550000,17523.946269
4600000,21470.581140
4650000,21275.343565
4700000,19228.740060
4750000,19325.069392
4800000,19874.335046
4850000,31372.002288
4900000,20897.520479
4950000,20410.324265
5000000,20806.796753
5050000,20621.652825
5100000,20842.203152
5150000,20735.825716
5200000,23926.597316
5250000,24215.582870
5300000,24810.665671
5350000,24863.583568
5400000,21787.345934
5450000,21532.148980
5500000,20287.048354
5550000,22424.243597
5600000,21379.824730
5650000,27621.112290
5700000,21987.350022
5750000,21599.836350
5800000,22012.604136
5850000,21982.502086
5900000,16147.800700
5950000,15598.970607
6000000,15556.395293
6050000,15412.944969
6100000,15517.706212
6150000,15500.789411
6200000,15313.008488
6250000,14666.737997
6300000,14709.725307
6350000,22485.905981
6400000,21751.505232
6450000,17531.304940
6500000,16984.985318
6550000,17085.563618
6600000,17089.973624
6650000,16819.759385
6700000,16347.569620
6750000,16633.072938
6800000,16822.444969
6850000,16940.173551
6900000,17000.593301
6950000,16998.286233
7000000,17007.191934
7050000,17083.992368
7100000,18983.837269
7150000,23567.521250
7200000,18804.932408
7250000,18249.425140
7300000,18556.831146
7350000,18301.212707
7400000,17997.233597
7450000,26598.074851
7500000,29746.378608
7550000,28834.491584
7600000,28402.620009
7650000,29711.217477
7700000,29947.435410
7750000,29870.720491
7800000,46917.817821
7850000,36234.434279
7900000,31066.879077
7950000,35490.851725
8000000,35025.872706
8050000,35397.586158
8100000,35205.757305
8150000,29765.755071
8200000,30581.004847
8250000,28904.263550
8300000,28451.803971
8350000,20481.143308
8400000,20951.194962
8450000,28554.915402
8500000,28683.872747
8550000,28995.586235
8600000,28365.790805
8650000,29068.718161
8700000,20859.615158
8750000,20752.197822
8800000,20786.648727
8850000,21369.023949
8900000,21216.445790
8950000,21238.032397
9000000,21434.922463
9050000,21365.001756
9100000,21379.566139
9150000,30507.030750
9200000,30241.780254
9250000,31591.726439
9300000,24746.591927
9350000,25329.657812
9400000,25510.737091
9450000,25987.371218
9500000,26048.637687
