step,rg2,perim,cycles
50000,13035384.566028,50735,45918
100000,13033945.825655,65844,30332
150000,13038703.753256,75372,22972
200000,13071616.455100,81862,18645
250000,13069998.715020,86160,16391
300000,13086198.462078,89449,15066
350000,13088701.305329,91989,13832
400000,13075659.695012,94440,13040
450000,13092862.831194,96079,12427
500000,13050940.434492,97749,11858
550000,13097402.328974,99021,11514
600000,13082547.751621,100137,11136
650000,13059386.053621,101026,10968
700000,13044475.617203,102132,10697
750000,13049305.828847,103205,10408
800000,13054021.326906,103832,10249
850000,13066714.902570,104609,10018
900000,13063468.720829,105276,9712
950000,13053935.145450,105595,9918
1000000,12460063.538869,106315,9680
1050000,12466170.086194,106788,9633
1100000,12475507.439758,107258,9373
1150000,12484511.593444,107685,9324
1200000,12484970.276248,107934,9189
1250000,12473551.626659,108256,9307
1300000,12450823.583509,108613,9174
1350000,12453706.499100,108843,9006
1400000,12474053.565795,109286,8900
1450000,12463180.920787,109472,8893
1500000,12466652.166744,109616,8910
1550000,12466834.471258,110031,8922
1600000,12467123.145346,110314,8902
1650000,12452038.731964,110503,8857
1700000,11701861.361109,110570,8925
1750000,11692044.033545,110739,8851
1800000,11688372.489799,111052,8822
1850000,11701017.211630,111071,8879
1900000,11693260.940241,111187,8660
1950000,11679157.280959,111309,8799
2000000,11692979.866087,111544,8676
2050000,11715943.665856,111999,8676
2100000,11527648.328199,112359,8514
2150000,11537068.878796,112242,8505
2200000,11561068.974300,112298,8430
2250000,11526397.725675,112732,8194
2300000,11527595.199041,112702,8351
2350000,11515020.431557,112814,8249
2400000,11485021.647892,112823,8302
2450000,11487370.242909,112780,8407
2500000,11495689.209977,113079,8266
2550000,11504334.388352,112966,8410
2600000,11495204.496724,113013,8383
2650000,11492570.769758,113226,8349
2700000,11499271.056143,113240,8326
2750000,11500653.298596,113272,8323
2800000,11485332.340845,113400,8431
2850000,11476086.490312,113713,8224
2900000,11471788.086376,113968,8123
2950000,11468077.104317,114122,8010
3000000,11465369.551388,113896,8192
3050000,11452464.112213,113946,8130
3100000,11433905.913565,113914,8115
3150000,11991617.795138,114211,8087
3200000,11986376.090059,114219,8058
3250000,12007459.825356,114290,8256
3300000,11977521.092851,114341,8108
3350000,11980118.950368,114533,8063
3400000,11068379.118178,114684,8115
3450000,11058816.279788,114716,8081
3500000,11033769.776210,114814,8141
3550000,10654449.587830,114927,8067
3600000,10635558.232790,114864,8095
3650000,10663442.100209,115028,8115
3700000,10639294.036856,115019,8092
3750000,10644528.699975,114957,8105
3800000,10644559.754096,115112,8084
3850000,10651415.478593,115162,7989
3900000,10632185.286961,115241,7943
3950000,10642658.776025,115423,7749
4000000,10610222.057879,115354,7829
4050000,11068619.894597,115519,7846
