step,rg2,perim,cycles,asph,movfrac
50000,2262770.081499,475819,29403,0.334274,0.2500
100000,2165938.593471,475766,29412,0.394745,0.3438
150000,2643384.752674,475764,29517,0.324458,0.2656
200000,2628702.895824,475686,29575,0.409540,0.3281
250000,2627780.553734,475864,29499,0.412737,0.2969
300000,2418735.281768,475884,29439,0.287852,0.3359
350000,2565013.222899,475891,29483,0.339305,0.2812
400000,2217913.809307,475945,29478,0.342775,0.3203
450000,2147160.820616,475950,29539,0.355222,0.2656
500000,2094733.343882,476075,29387,0.363035,0.3594
550000,2096925.314834,476048,29318,0.363419,0.2500
600000,2048594.430383,476035,29296,0.362138,0.2422
650000,3026990.747575,476069,29284,0.548608,0.2266
700000,1767503.399509,475935,29344,0.189583,0.2578
750000,1787081.465074,475829,29389,0.160781,0.2188
800000,1816682.035771,475978,29329,0.176286,0.3047
850000,1812563.280506,475978,29342,0.183609,0.2969
900000,1842237.607292,476001,29309,0.183923,0.3672
950000,1831288.498634,475918,29444,0.162483,0.3750
1000000,1684347.994602,475985,29430,0.077552,0.3047
1050000,1814025.746786,475988,29458,0.185828,0.3047
1100000,1801776.611519,476007,29370,0.192908,0.3047
1150000,1892839.470385,476170,29400,0.237533,0.2578
1200000,1890009.896028,476155,29475,0.238829,0.2656
1250000,1914107.109062,476279,29446,0.230636,0.3594
1300000,1798282.119124,476269,29434,0.123992,0.3047
1350000,1797145.751394,476198,29495,0.124151,0.3203
1400000,2143989.554020,476067,29625,0.546750,0.2891
1450000,2151536.666960,475983,29626,0.546964,0.2734
1500000,2224881.411759,475979,29530,0.119025,0.3750
1550000,2100175.211125,476057,29452,0.462745,0.3594
1600000,2100515.460447,476069,29411,0.463558,0.2734
1650000,2099701.246557,475996,29549,0.463084,0.2500
1700000,2086291.839950,475992,29485,0.463543,0.2500
1750000,1981302.821575,475961,29469,0.373071,0.3359
1800000,1980285.915407,475904,29434,0.372988,0.2656
1850000,1787433.007082,475820,29375,0.288041,0.3359
1900000,1784937.774817,475733,29404,0.304815,0.3125
1950000,1783305.146178,475723,29443,0.307288,0.3125
2000000,1927816.479515,475754,29505,0.316985,0.3281
2050000,2315825.750331,475673,29525,0.410563,0.2422
2100000,2347934.381964,475662,29569,0.403123,0.2031
2150000,2312931.803011,475577,29591,0.430270,0.2891
2200000,2334078.669845,475497,29683,0.142900,0.3125
2250000,2016487.026550,475547,29752,0.029664,0.2656
2300000,1976940.373660,475480,29845,0.023023,0.3281
2350000,1974364.849701,475570,29828,0.023176,0.3438
2400000,1958025.458011,475544,29699,0.127912,0.3125
2450000,3466949.463891,475719,29604,0.512167,0.2500
2500000,3472496.057755,475797,29596,0.512615,0.3125
2550000,2717502.882233,475943,29537,0.261596,0.2891
2600000,2717228.279596,476074,29567,0.262136,0.2812
2650000,3299742.387480,476006,29607,0.789957,0.2422
2700000,3347482.500945,475903,29732,0.728900,0.3516
2750000,3384508.261667,475975,29702,0.643369,0.3594
2800000,3187755.259916,475946,29774,0.776091,0.2969
2850000,3163327.370770,475953,29806,0.684922,0.3047
2900000,3648514.766499,476037,29735,0.858517,0.2734
2950000,3737809.782157,476201,29814,0.880937,0.2188
3000000,3739110.859029,476125,29860,0.880331,0.2734
3050000,3749193.506315,476134,29845,0.880727,0.2500
3100000,3712911.242462,475940,29982,0.864588,0.2734
3150000,3308728.593158,476094,29812,0.603303,0.3125
3200000,2972725.587040,476029,29846,0.596382,0.3281
3250000,2978334.290210,475924,29894,0.599823,0.2578
3300000,3305861.135129,475903,29901,0.625247,0.2266
3350000,3199344.509746,475928,29836,0.646172,0.2812
3400000,3165737.226542,475796,29741,0.636189,0.3125
3450000,1979813.865369,475673,29760,0.045863,0.2969
3500000,1972925.474522,475511,29757,0.048223,0.1875
3550000,2857012.502959,475582,29649,0.467808,0.1953
3600000,3112599.687361,475631,29723,0.480683,0.2891
3650000,3241088.980286,475693,29737,0.639713,0.2188
3700000,3243290.782831,475621,29795,0.639525,0.2500
3750000,3244838.373602,475596,29779,0.644872,0.2656
3800000,2143641.155029,475604,29744,0.323327,0.2812
3850000,2086604.466667,475506,29679,0.372095,0.3672
3900000,2087984.420354,475423,29697,0.372509,0.2500
3950000,3054520.034295,475424,29645,0.660713,0.2891
4000000,2720341.286982,475506,29629,0.459982,0.2266
4050000,2976961.593500,475585,29556,0.647068,0.2578
4100000,2972560.538740,475436,29569,0.644780,0.2969
4150000,2973848.982431,475318,29671,0.644839,0.2812
4200000,3028609.867226,475302,29625,0.620117,0.2812
4250000,3031825.815718,475293,29619,0.621951,0.3281
4300000,2598082.046759,475362,29670,0.480720,0.2812
4350000,2218008.304517,475526,29663,0.387962,0.2578
4400000,1704371.277457,475711,29654,0.051165,0.2344
