step,rg2,perim,cycles,asph
50000,370172.527012,119480,7324,0.179318
100000,393911.307095,119515,7415,0.209233
150000,436656.573667,119473,7426,0.466616
200000,436029.774544,119430,7342,0.448517
250000,460242.950716,119323,7345,0.560475
300000,288137.378850,119347,7380,0.093801
350000,513526.572010,119600,7297,0.481207
400000,385549.897785,119612,7278,0.152378
450000,412179.227922,119621,7254,0.226664
500000,440134.886103,119500,7349,0.216504
550000,417385.758502,119579,7364,0.396740
600000,373076.312850,119457,7390,0.258731
650000,342862.986594,119530,7336,0.217292
700000,344637.722298,119562,7274,0.188253
750000,454732.358356,119513,7278,0.354728
800000,392222.238983,119494,7278,0.223623
850000,439569.999680,119573,7275,0.390693
900000,591707.094741,119440,7386,0.694619
950000,497397.623395,119473,7341,0.401888
1000000,588994.356321,119622,7247,0.714660
1050000,408781.127806,119469,7412,0.272272
1100000,483858.983282,119479,7357,0.584089
1150000,445244.379721,119518,7286,0.398324
1200000,458255.363365,119463,7326,0.427417
1250000,442554.974574,119367,7342,0.366183
1300000,452325.656087,119286,7397,0.418565
1350000,395759.418800,119273,7408,0.303445
1400000,463682.476316,119381,7310,0.030048
1450000,570540.225747,119491,7262,0.200530
1500000,516066.881998,119427,7321,0.114140
1550000,501109.382789,119380,7380,0.325356
1600000,486236.126116,119441,7344,0.385591
1650000,502961.234050,119608,7262,0.201657
1700000,564342.519410,119342,7382,0.158114
1750000,393817.496735,119319,7409,0.285690
1800000,434321.280912,119354,7381,0.149903
1850000,434751.752180,119460,7333,0.170697
1900000,394573.709944,119396,7350,0.043619
1950000,347684.882575,119544,7299,0.167009
2000000,342467.371065,119542,7220,0.436570
2050000,425814.627085,119571,7308,0.053130
2100000,350022.073705,119451,7301,0.024548
2150000,429895.840512,119501,7249,0.082896
2200000,415359.761401,119363,7323,0.150462
2250000,429942.329327,119408,7351,0.199610
2300000,423062.508203,119405,7392,0.113981
2350000,403949.080329,119426,7356,0.106268
2400000,472495.230664,119421,7308,0.021113
2450000,306922.039486,119343,7338,0.062414
2500000,536479.026016,119383,7364,0.210163
2550000,519001.591693,119217,7439,0.195218
2600000,469812.467717,119141,7410,0.311192
2650000,573471.863588,119377,7334,0.334989
2700000,546731.819634,119479,7271,0.236898
2750000,542136.663957,119445,7248,0.206970
2800000,538701.137635,119433,7306,0.169795
2850000,518984.366113,119423,7325,0.325659
2900000,556036.259436,119480,7324,0.090572
2950000,421851.516629,119595,7232,0.255936
3000000,432591.836626,119581,7278,0.237717
3050000,466840.441623,119546,7317,0.223362
3100000,517184.634096,119607,7254,0.190960
3150000,489836.050468,119681,7180,0.133766
3200000,454538.928482,119821,7154,0.142370
3250000,540380.315380,119728,7158,0.272013
3300000,479525.601673,119681,7269,0.290516
3350000,507003.447846,119753,7210,0.330104
3400000,572473.150155,119651,7278,0.173055
3450000,517535.026898,119554,7312,0.321063
3500000,537906.279575,119772,7242,0.469450
3550000,485478.737012,119610,7287,0.126018
3600000,376205.469179,119447,7271,0.016491
3650000,446353.754480,119407,7220,0.009174
3700000,433998.059786,119442,7284,0.017652
3750000,469978.274841,119526,7243,0.046954
3800000,465770.434604,119581,7267,0.051017
3850000,440879.979761,119450,7334,0.072697
3900000,426980.821907,119383,7343,0.076918
3950000,422811.995501,119394,7335,0.000197
4000000,473279.714493,119412,7277,0.001828
4050000,434505.872433,119353,7374,0.208612
4100000,375449.909370,119368,7274,0.021032
4150000,430145.399290,119365,7310,0.141532
4200000,398605.436042,119339,7347,0.125267
4250000,384504.747401,119330,7375,0.110264
4300000,364290.145805,119389,7299,0.013198
4350000,389035.803718,119666,7169,0.000956
4400000,374719.337836,119558,7289,0.027786
4450000,342853.024096,119530,7253,0.121750
4500000,388008.360359,119400,7328,0.149895
4550000,403943.292036,119538,7198,0.314692
4600000,388951.226014,119478,7240,0.359585
4650000,448513.449764,119520,7249,0.153951
4700000,476882.374790,119641,7193,0.149447
4750000,419471.270733,119715,7207,0.133369
4800000,450265.460837,119657,7205,0.051774
4850000,508677.564760,119575,7238,0.141262
4900000,462867.229164,119621,7266,0.088770
4950000,393229.494531,119710,7243,0.011480
5000000,497142.163604,119670,7312,0.323395
5050000,451728.584973,119786,7279,0.244871
5100000,424405.988313,119594,7348,0.377957
5150000,400212.337424,119465,7372,0.416274
5200000,487785.277969,119325,7420,0.280459
5250000,363618.121269,119435,7347,0.122727
5300000,489181.422469,119355,7417,0.199056
5350000,589098.327451,119402,7397,0.572010
5400000,513110.089763,119403,7361,0.315651
5450000,433565.074047,119418,7342,0.273252
5500000,600988.415329,119428,7369,0.313254
5550000,700988.564643,119511,7300,0.595046
5600000,620219.780712,119452,7287,0.398167
5650000,423185.796698,119587,7243,0.372678
5700000,570276.043521,119762,7162,0.594022
5750000,615902.689277,119665,7247,0.686842
5800000,839660.045242,119471,7360,0.787108
5850000,794448.449562,119645,7307,0.750434
5900000,756274.409713,119652,7185,0.657975
5950000,472728.340876,119712,7161,0.223000
6000000,594823.301448,119470,7245,0.430342
6050000,588258.298123,119508,7232,0.177651
6100000,615910.057367,119347,7239,0.232162
6150000,553619.371727,119375,7265,0.162718
6200000,638216.616619,119274,7352,0.596778
6250000,647779.408945,119421,7201,0.582539
6300000,633965.715895,119474,7193,0.460063
6350000,529134.616503,119581,7234,0.378616
6400000,832212.297163,119584,7225,0.720750
6450000,706270.447682,119583,7189,0.672596
6500000,700616.702872,119612,7110,0.246795
6550000,498765.051994,119766,7101,0.466526
6600000,530395.128349,119774,7094,0.104273
6650000,569742.080678,119683,7186,0.528877
6700000,456254.643766,119742,7140,0.513468
6750000,757079.331383,119580,7340,0.774875
6800000,572950.855551,119406,7441,0.590888
6850000,568753.969248,119413,7421,0.571610
6900000,633820.204043,119249,7418,0.587444
6950000,701461.450548,119312,7330,0.686763
7000000,675912.134699,119402,7307,0.661129
7050000,550742.987863,119334,7358,0.288265
7100000,564332.718491,119235,7415,0.373679
7150000,594324.301136,119264,7392,0.432645
7200000,521360.760362,119392,7323,0.383008
7250000,405981.152020,119354,7385,0.163921
7300000,469684.694875,119428,7352,0.539800
7350000,374397.382932,119419,7404,0.089883
7400000,370408.596024,119476,7393,0.023496
7450000,389393.046743,119373,7359,0.005734
7500000,420306.164472,119377,7392,0.020231
7550000,375796.586179,119488,7376,0.018116
7600000,376859.775338,119420,7349,0.117187
7650000,374357.632055,119426,7361,0.090693
7700000,397346.371176,119353,7362,0.055078
7750000,396877.570050,119263,7397,0.061016
7800000,437307.223609,119458,7299,0.096350
7850000,417083.936861,119457,7316,0.017313
7900000,413390.161755,119482,7202,0.018207
